Date,AAPL_Close,AMZN_Close,BABA_Close,IBM_Close,META_Close,TSLA_Close,TSM_Close,AAPL_LogReturn,AMZN_LogReturn,BABA_LogReturn,IBM_LogReturn,META_LogReturn,TSLA_LogReturn,TSM_LogReturn
2023-12-01,191.24000549316406,147.02999877929688,73.98999786376953,160.5500030517578,324.82000732421875,238.8300018310547,98.55000305175781,,,,,,,
2023-12-04,189.42999267578125,144.83999633789062,73.02999877929688,161.10000610351562,320.0199890136719,235.5800018310547,97.01000213623047,-0.009509688006157202,-0.01500697967354326,-0.01305962114865137,0.003419888525762279,-0.014887745784404428,-0.01370144313218934,-0.015749976571406202
2023-12-05,193.4199981689453,146.8800048828125,72.37999725341797,161.38999938964844,318.2900085449219,238.72000122070312,96.69000244140625,0.020844456346414825,0.013986300502114904,-0.008940318728029596,0.0017984641964576228,-0.005420515772025088,0.013240755825754019,-0.003304078248628516
2023-12-06,192.32000732421875,144.52000427246094,71.48999786376953,160.27999877929688,317.45001220703125,239.3699951171875,97.8499984741211,-0.00570329139174604,-0.016198024273178,-0.012372430291665673,-0.006901514114011213,-0.0026425796687167304,0.002719129460769398,0.011925668502735957
2023-12-07,194.27000427246094,146.8800048828125,72.33000183105469,160.22000122070312,326.5899963378906,242.63999938964844,99.29000091552734,0.010088276612733347,0.016198024273177868,0.011681456279244242,-0.0003743997459881343,0.028385186291011916,0.013568409275163597,0.014609192018219553
2023-12-08,195.7100067138672,147.4199981689453,72.13999938964844,161.9600067138672,332.75,243.83999633789062,100.3499984741211,0.00738503997898364,0.003669683224747049,-0.0026303391617366672,0.010801554211930443,0.018685906914352568,0.004933396614923965,0.010619189770534098
2023-12-11,193.17999267578125,145.88999938964844,71.37000274658203,163.50999450683594,325.2799987792969,239.74000549316406,100.94999694824219,-0.013011647184869976,-0.010432734440314026,-0.01073101554805885,0.009524684333395922,-0.02270511114796101,-0.016957231787828677,0.005961254491679194
2023-12-12,194.7100067138672,147.47999572753906,71.38999938964844,164.7100067138672,334.2200012207031,237.00999450683594,101.5999984741211,0.007888947771707804,0.010839635496016388,0.00028014349815014635,0.007312275605114008,0.027113116300370613,-0.011452714531076777,0.006418205597431657
2023-12-13,197.9600067138672,148.83999633789062,71.45999908447266,163.6199951171875,334.739990234375,239.2899932861328,102.12000274658203,0.016553717390059137,0.009179334477907091,0.0009800448186874449,-0.0066397563131718575,0.0015546194840991609,0.009573866272891631,0.005105099143027323
2023-12-14,198.11000061035156,147.4199981689453,72.51000213623047,162.91000366210938,333.1700134277344,251.0500030517578,103.44999694824219,0.0007574110681509634,-0.009586235533609468,0.014586673061167166,-0.004348712685739433,-0.004701171383982481,0.04797595720291628,0.012939755422802115
2023-12-15,197.57000732421875,149.97000122070312,74.51000213623047,162.22999572753906,334.9200134277344,253.5,102.54000091552734,-0.002729446070281669,0.01714963889276147,0.027208860391336596,-0.004182868470936422,0.005238826900846308,0.009711688394547188,-0.008835399407673458
